year,ari,n_clusters
1900,10-year,1
1901,10-year,0
1902,10-year,0
1903,10-year,2
1904,10-year,0
1905,10-year,1
1906,10-year,0
1907,10-year,0
1908,10-year,0
1909,10-year,2
1910,10-year,1
1911,10-year,0
1912,10-year,0
1913,10-year,0
1914,10-year,1
1915,10-year,3
1916,10-year,1
1917,10-year,0
1918,10-year,0
1919,10-year,0
1920,10-year,0
1921,10-year,3
1922,10-year,0
1923,10-year,0
1924,10-year,1
1925,10-year,0
1926,10-year,0
1927,10-year,0
1928,10-year,1
1929,10-year,0
1930,10-year,0
1931,10-year,0
1932,10-year,0
1933,10-year,6
1934,10-year,3
1935,10-year,2
1936,10-year,0
1937,10-year,0
1938,10-year,0
1939,10-year,2
1940,10-year,0
1941,10-year,0
1942,10-year,0
1943,10-year,1
1944,10-year,3
1945,10-year,6
1946,10-year,0
1947,10-year,3
1948,10-year,1
1949,10-year,2
1950,10-year,4
1951,10-year,2
1952,10-year,0
1953,10-year,2
1954,10-year,1
1955,10-year,0
1956,10-year,0
1957,10-year,0
1958,10-year,0
1959,10-year,0
1960,10-year,4
1961,10-year,0
1962,10-year,2
1963,10-year,0
1964,10-year,1
1965,10-year,0
1966,10-year,0
1967,10-year,1
1968,10-year,2
1969,10-year,0
1970,10-year,0
1971,10-year,0
1972,10-year,1
1973,10-year,0
1974,10-year,4
1975,10-year,0
1976,10-year,1
1977,10-year,0
1978,10-year,0
1979,10-year,3
1980,10-year,0
1981,10-year,0
1982,10-year,4
1983,10-year,1
1984,10-year,0
1985,10-year,0
1986,10-year,0
1987,10-year,1
1988,10-year,3
1989,10-year,0
1990,10-year,0
1991,10-year,0
1992,10-year,4
1993,10-year,0
1994,10-year,1
1995,10-year,2
1996,10-year,0
1997,10-year,6
1998,10-year,5
1999,10-year,0
2000,10-year,0
2001,10-year,2
2002,10-year,0
2003,10-year,2
2004,10-year,3
2005,10-year,2
2006,10-year,1
2007,10-year,1
2008,10-year,0
2009,10-year,2
2010,10-year,0
2011,10-year,2
2012,10-year,6
2013,10-year,0
2014,10-year,1
2015,10-year,1
2016,10-year,1
2017,10-year,7
2018,10-year,0
2019,10-year,0
2020,10-year,0
2021,10-year,2
2022,10-year,3
2023,10-year,0
2024,10-year,8
2025,10-year,0
1900,25-year,0
1901,25-year,0
1902,25-year,0
1903,25-year,1
1904,25-year,0
1905,25-year,1
1906,25-year,0
1907,25-year,0
1908,25-year,0
1909,25-year,2
1910,25-year,0
1911,25-year,0
1912,25-year,0
1913,25-year,0
1914,25-year,0
1915,25-year,2
1916,25-year,0
1917,25-year,0
1918,25-year,0
1919,25-year,0
1920,25-year,0
1921,25-year,2
1922,25-year,0
1923,25-year,0
1924,25-year,1
1925,25-year,0
1926,25-year,0
1927,25-year,0
1928,25-year,0
1929,25-year,0
1930,25-year,0
1931,25-year,0
1932,25-year,0
1933,25-year,5
1934,25-year,1
1935,25-year,1
1936,25-year,0
1937,25-year,0
1938,25-year,0
1939,25-year,1
1940,25-year,0
1941,25-year,0
1942,25-year,0
1943,25-year,0
1944,25-year,1
1945,25-year,5
1946,25-year,0
1947,25-year,2
1948,25-year,0
1949,25-year,1
1950,25-year,3
1951,25-year,1
1952,25-year,0
1953,25-year,2
1954,25-year,0
1955,25-year,0
1956,25-year,0
1957,25-year,0
1958,25-year,0
1959,25-year,0
1960,25-year,3
1961,25-year,0
1962,25-year,2
1963,25-year,0
1964,25-year,0
1965,25-year,0
1966,25-year,0
1967,25-year,0
1968,25-year,0
1969,25-year,0
1970,25-year,0
1971,25-year,0
1972,25-year,0
1973,25-year,0
1974,25-year,3
1975,25-year,0
1976,25-year,0
1977,25-year,0
1978,25-year,0
1979,25-year,3
1980,25-year,0
1981,25-year,0
1982,25-year,2
1983,25-year,1
1984,25-year,0
1985,25-year,0
1986,25-year,0
1987,25-year,0
1988,25-year,1
1989,25-year,0
1990,25-year,0
1991,25-year,0
1992,25-year,1
1993,25-year,0
1994,25-year,0
1995,25-year,0
1996,25-year,0
1997,25-year,2
1998,25-year,1
1999,25-year,0
2000,25-year,0
2001,25-year,0
2002,25-year,0
2003,25-year,0
2004,25-year,0
2005,25-year,0
2006,25-year,1
2007,25-year,0
2008,25-year,0
2009,25-year,0
2010,25-year,0
2011,25-year,0
2012,25-year,5
2013,25-year,0
2014,25-year,0
2015,25-year,0
2016,25-year,0
2017,25-year,3
2018,25-year,0
2019,25-year,0
2020,25-year,0
2021,25-year,1
2022,25-year,1
2023,25-year,0
2024,25-year,4
2025,25-year,0
1900,100-year,0
1901,100-year,0
1902,100-year,0
1903,100-year,1
1904,100-year,0
1905,100-year,0
1906,100-year,0
1907,100-year,0
1908,100-year,0
1909,100-year,0
1910,100-year,0
1911,100-year,0
1912,100-year,0
1913,100-year,0
1914,100-year,0
1915,100-year,1
1916,100-year,0
1917,100-year,0
1918,100-year,0
1919,100-year,0
1920,100-year,0
1921,100-year,1
1922,100-year,0
1923,100-year,0
1924,100-year,0
1925,100-year,0
1926,100-year,0
1927,100-year,0
1928,100-year,0
1929,100-year,0
1930,100-year,0
1931,100-year,0
1932,100-year,0
1933,100-year,1
1934,100-year,1
1935,100-year,0
1936,100-year,0
1937,100-year,0
1938,100-year,0
1939,100-year,0
1940,100-year,0
1941,100-year,0
1942,100-year,0
1943,100-year,0
1944,100-year,0
1945,100-year,2
1946,100-year,0
1947,100-year,0
1948,100-year,0
1949,100-year,0
1950,100-year,0
1951,100-year,0
1952,100-year,0
1953,100-year,0
1954,100-year,0
1955,100-year,0
1956,100-year,0
1957,100-year,0
1958,100-year,0
1959,100-year,0
1960,100-year,0
1961,100-year,0
1962,100-year,0
1963,100-year,0
1964,100-year,0
1965,100-year,0
1966,100-year,0
1967,100-year,0
1968,100-year,0
1969,100-year,0
1970,100-year,0
1971,100-year,0
1972,100-year,0
1973,100-year,0
1974,100-year,0
1975,100-year,0
1976,100-year,0
1977,100-year,0
1978,100-year,0
1979,100-year,2
1980,100-year,0
1981,100-year,0
1982,100-year,1
1983,100-year,1
1984,100-year,0
1985,100-year,0
1986,100-year,0
1987,100-year,0
1988,100-year,0
1989,100-year,0
1990,100-year,0
1991,100-year,0
1992,100-year,1
1993,100-year,0
1994,100-year,0
1995,100-year,0
1996,100-year,0
1997,100-year,0
1998,100-year,0
1999,100-year,0
2000,100-year,0
2001,100-year,0
2002,100-year,0
2003,100-year,0
2004,100-year,0
2005,100-year,0
2006,100-year,0
2007,100-year,0
2008,100-year,0
2009,100-year,0
2010,100-year,0
2011,100-year,0
2012,100-year,0
2013,100-year,0
2014,100-year,0
2015,100-year,0
2016,100-year,0
2017,100-year,1
2018,100-year,0
2019,100-year,0
2020,100-year,0
2021,100-year,0
2022,100-year,1
2023,100-year,0
2024,100-year,3
2025,100-year,0
